ep1,econviol,emotvio,physvio,sexvio,sexphys,typevio,physcur,sexcur,emotcur,sexphcur,npsexvio,npsexviocur,npatmpsexvio,npatmpsexcur,nptouching,nptouchingcur,npsexabuse,npsexabusecur,w_religion,earlymarriage,justify,CONTROLLING,CONTROL,CONTROLNUM,anyIPV,diffage,sumdiffage,p_employ,EP3,ageyr5,ageyr10,EM,sQ601a,sQ601b,sQ601c,sQ601d,sQ601e,sQ601f,tQ602a,tQ602b,tQ602c,tQ602d,sQ607a,sQ607b,sQ607c,sQ607d,sQ607e,EP2,FCMAR,edresp,employstatus,SourceIncome,ETHNICITY,Fam_support,mcv1006,mcv1006a,mcv1006b,Q501R,agepartner,edpart,men_alcohol_all,mcv1008,mcv1009,Q513R,Q515R,Q516R,Q702,Q702R,eQ703a,eQ703b,eQ703c,eQ703d,eQ703e,eQ703f,eQ703g,eQ703h,country,weighing,rQ701a,rQ701b,rQ701c,rQ701d,HighIncome,Island,Governance,HDI,LAWDV,Governance1,HDI1,LAWDV1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,1,1,6,3,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,4,2,4,1,0,0,0,46,4,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1.18328617254902,1,1,1,1,0,0,.16,.654,37,0,0,0
1,1,1,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,6,3,1,5,3,1,4,9,5,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,2,2,5,1,1,0,1,1,64,5,2,0,0,1,1,1,1,3,3,1,0,1,1,1,1,0,1,1,.204913357745098,0,0,1,1,0,0,.16,.654,37,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,2,1,4,2,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,2,9,3,4,5,6,1,0,0,0,22,1,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1.34952203578431,1,1,1,1,0,0,.16,.654,37,0,0,0
1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,1,1,9,5,1,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,1,0,2,4,3,5,1,0,1,1,56,5,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,.0697475851960784,1,0,1,1,0,0,.16,.654,37,0,0,0
1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,21,4,1,4,8,4,1,0,1,1,1,0,1,1,0,0,0,0,1,0,1,0,2,1,1,3,2,4,1,0,0,0,75,6,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,.270909190294118,1,1,1,1,0,0,.16,.654,37,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,2,1,3,4,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3,4,2,1,1,0,0,0,33,2,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,.168662739754902,1,1,1,1,0,0,.16,.654,37,0,0,0
1,1,1,1,1,1,3,1,1,1,1,0,0,0,0,0,0,0,0,1,9,0,1,8,3,1,23,4,1,4,2,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,2,9,2,2,5,6,1,0,0,0,44,3,1,1,0,0,0,1,1,3,3,1,1,1,1,1,1,1,1,1,.0804825285294118,0,0,0,0,0,0,.16,.654,37,0,0,0
1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,3,3,1,-8,1,1,4,9,5,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,2,1,1,3,2,6,1,0,1,1,47,4,3,0,0,0,0,0,0,3,3,0,0,1,1,1,0,0,0,1,.665511893137255,0,1,1,0,0,0,.16,.654,37,0,0,0
1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,9,0,1,2,2,1,2,2,1,4,3,2,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,2,9,1,1,5,6,1,0,0,0,27,2,2,1,0,0,0,1,0,2,2,0,0,0,1,0,0,0,1,1,.106507313529412,1,1,1,1,0,0,.16,.654,37,0,0,0
1,0,1,1,1,1,3,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,6,3,1,5,3,1,1,4,2,1,1,1,1,1,1,0,0,1,0,1,1,1,0,0,0,1,0,2,2,4,5,1,0,0,1,39,3,2,0,0,0,1,0,0,2,2,0,0,1,1,1,1,1,1,1,1.44278523382353,1,1,1,1,0,0,.16,.654,37,0,0,0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,6,3,1,2,2,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,2,4,5,1,0,0,0,28,2,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,.417330105686274,1,1,1,1,0,0,.16,.654,37,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-16,1,1,4,6,3,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,5,6,1,0,0,0,27,2,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,.268345738333333,1,1,1,1,0,0,.16,.654,37,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,-6,1,1,4,3,2,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,2,9,2,1,5,1,1,0,0,0,21,1,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,.380645751617647,0,0,0,0,0,0,.16,.654,37,0,0,0
1,0,1,0,1,1,2,0,0,0,0,1,0,0,0,1,0,1,0,1,9,1,1,1,1,1,17,4,1,4,1,1,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,2,9,2,1,5,1,0,0,0,0,35,3,2,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,.665511893137255,1,1,1,1,0,0,.16,.654,37,0,0,0
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,1,3,3,1,-20,1,1,4,10,5,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,2,9,1,3,1,1,1,0,0,1,44,3,1,1,1,1,1,1,0,3,3,1,1,1,0,0,0,0,0,1,.473327089068627,0,0,0,0,0,0,.16,.654,37,0,0,0
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,3,1,0,2,1,1,4,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,4,3,6,1,0,1,1,34,2,2,0,0,1,0,1,0,1,1,0,0,1,1,0,0,0,1,1,.452575706127451,1,1,1,1,0,0,.16,.654,37,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,2,1,1,6,3,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,5,1,1,0,0,0,46,4,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,.829023734803922,1,1,1,1,0,0,.16,.654,37,0,0,0
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,1,1,4,2,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,3,4,3,6,1,0,0,0,31,2,3,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,1,.147527125686275,1,1,1,1,0,0,.16,.654,37,0,0,0
1,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,3,3,1,7,3,1,2,3,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3,3,3,6,1,0,1,0,36,3,3,1,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,1,.137733093578431,1,1,1,1,0,0,.16,.654,37,0,0,0
1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,0,2,1,2,2,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,2,4,4,1,0,0,0,23,1,2,0,0,0,0,0,0,3,3,0,0,0,0,0,1,0,1,1,.178998235637255,1,1,1,1,0,0,.16,.654,37,0,0,0
1,1,1,1,1,1,3,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,7,3,1,6,3,1,4,2,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,2,0,2,1,5,6,0,1,0,1,30,2,2,0,1,0,0,1,1,3,3,1,1,1,1,1,0,1,1,1,.66385909754902,1,0,0,0,0,0,.16,.654,37,0,0,0
1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,2,2,1,0,2,1,1,5,3,1,1,1,0,1,1,0,1,0,1,1,0,1,0,0,0,1,0,3,4,3,6,1,0,1,1,37,3,2,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,.276011711960784,1,1,1,1,0,0,.16,.654,37,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,2,0,15,4,1,3,4,2,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,4,1,4,1,0,0,0,47,4,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,.473327089068627,1,1,1,1,0,0,.16,.654,37,0,0,0
1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,2,2,1,4,3,1,2,2,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,2,2,4,6,1,0,0,0,25,2,2,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,.857899470588235,1,1,1,1,0,0,.16,.654,37,0,0,0
1,1,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,3,3,1,4,3,1,1,8,4,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,2,2,4,4,1,1,0,0,54,4,1,1,1,1,1,1,0,2,2,0,0,0,1,1,0,1,0,1,.738282309313725,0,0,0,0,0,0,.16,.654,37,0,0,0
1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,-1,1,1,2,5,3,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,2,4,3,6,1,1,0,0,34,2,2,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,1,.813334789705882,1,1,1,1,0,0,.16,.654,37,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-4,1,1,1,8,4,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,2,2,4,6,0,0,0,0,50,4,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,.313269947107843,1,1,1,1,0,0,.16,.654,37,0,0,0
1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,2,2,0,5,3,1,1,4,2,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,2,2,4,4,1,0,0,0,38,3,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,.353666148970588,1,0,1,0,0,0,.16,.654,37,0,0,0
1,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,2,2,1,10,4,1,4,8,4,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,2,0,2,4,2,1,1,1,0,0,62,5,1,0,0,0,0,0,0,2,2,0,0,0,1,0,0,0,1,1,.153780843872549,0,1,1,1,0,0,.16,.654,37,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,8,4,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,2,4,4,1,0,0,0,56,5,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,.740017438235294,1,1,1,1,0,0,.16,.654,37,0,0,0
1,1,1,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,3,1,-1,1,1,4,6,3,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,2,0,2,1,1,4,1,1,0,0,40,3,1,1,1,0,0,1,0,1,1,1,1,1,1,1,0,0,1,1,.370008719215686,1,1,1,1,0,0,.16,.654,37,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,3,3,0,12,4,0,2,7,4,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,4,4,1,0,0,0,61,5,1,0,0,0,0,0,0,2,2,0,0,1,1,0,0,0,1,1,.236996359558824,1,1,1,1,0,0,.16,.654,37,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,4,3,1,1,5,3,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,2,2,4,4,1,0,0,0,42,3,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,.543723893137255,1,1,1,1,0,0,.16,.654,37,0,0,0
