ep1,econviol,emotvio,physvio,sexvio,sexphys,typevio,physcur,sexcur,emotcur,sexphcur,npsexvio,npsexviocur,npatmpsexvio,npatmpsexcur,nptouching,nptouchingcur,npsexabuse,npsexabusecur,w_religion,earlymarriage,justify,CONTROLLING,CONTROL,CONTROLNUM,anyIPV,diffage,sumdiffage,p_employ,EP3,ageyr5,ageyr10,EM,sQ601a,sQ601b,sQ601c,sQ601d,sQ601e,sQ601f,tQ602a,tQ602b,tQ602c,tQ602d,sQ607a,sQ607b,sQ607c,sQ607d,sQ607e,EP2,FCMAR,edresp,employstatus,SourceIncome,ETHNICITY,Fam_support,mcv1006,mcv1006a,mcv1006b,Q501R,agepartner,edpart,men_alcohol_all,mcv1008,mcv1009,Q513R,Q515R,Q516R,Q702,Q702R,eQ703a,eQ703b,eQ703c,eQ703d,eQ703e,eQ703f,eQ703g,eQ703h,country,weighing,rQ701a,rQ701b,rQ701c,rQ701d,HighIncome,Island,Governance,HDI,LAWDV,Governance1,HDI1,LAWDV1
yes,no,no,no,no,no,no violence,no,no,no,no,no,no,no,no,no,no,no,no,Not christian,19 or older,no,no,0,none,no,5,Partner 4 to 8 years older,yes,currently married,40-44,35-44,yes,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,currently partnered,no,secondary,Working,Income from own work,East Indian,yes,no,no,no,46,45-54,secondary,no,no,no,no,no,no,rarely/never/NA,rarely/never/NA,no,no,no,no,no,no,no,no,Guyana,1.18328617254902,yes,yes,yes,yes,no,no,.16,.654,37,50th or lower,125th,39th or lower
yes,yes,yes,yes,yes,yes,both,no,no,no,no,no,no,no,no,no,no,no,no,Christian,18 or younger,no,yes,6,3+,yes,5,Partner 4 to 8 years older,yes,currently no partner,55-59,55-64,yes,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no,formerly partnered,no,secondary,Housework/work as unpaid family member,Support from relatives/friends,African,yes,no,yes,yes,64,55-64,secondary,no,no,yes,yes,yes,yes,frequently,frequently,yes,no,yes,yes,yes,yes,no,yes,Guyana,.204913357745098,no,no,yes,yes,no,no,.16,.654,37,50th or lower,125th,39th or lower
yes,no,no,no,no,no,no violence,no,no,no,no,no,no,no,no,no,no,no,no,Christian,not married/cohabitated,no,no,0,none,no,0,Partner at most 3 years older,yes,currently no partner,20-24,15-24,no,no,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,no,formerly partnered,not married/cohabitated,higher/tech/vocational,Working,Support from relatives/friends,Mixed,yes,no,no,no,22,15-24,higher/tech/vocational,no,no,no,no,no,no,rarely/never/NA,rarely/never/NA,no,no,no,no,no,no,no,no,Guyana,1.34952203578431,yes,yes,yes,yes,no,no,.16,.654,37,50th or lower,125th,39th or lower
yes,no,yes,yes,no,yes,physical only,no,no,yes,no,no,no,no,no,no,no,no,no,Christian,19 or older,no,no,0,none,yes,0,Partner at most 3 years older,yes,currently married,55-59,55-64,yes,no,no,yes,yes,no,yes,no,no,yes,yes,no,no,no,no,no,currently partnered,no,secondary,Working,Support from partner/husband,Indigenous/other,yes,no,yes,yes,56,55-64,secondary,no,no,no,no,no,no,rarely/never/NA,rarely/never/NA,no,no,no,no,no,no,no,no,Guyana,.0697475851960784,yes,no,yes,yes,no,no,.16,.654,37,50th or lower,125th,39th or lower
yes,no,no,yes,no,yes,physical only,no,no,no,no,no,no,no,no,no,no,no,no,Not christian,18 or younger,yes,no,0,none,yes,21, Partner at least 9 years older,yes,currently no partner,50-54,45-54,yes,no,yes,yes,yes,no,yes,yes,no,no,no,no,yes,no,yes,no,formerly partnered,yes,no/primary,Out of the labor force,Income from own work,East Indian,yes,no,no,no,75,65 and +,no/primary,yes,no,no,no,no,no,rarely/never/NA,rarely/never/NA,no,no,no,no,no,no,no,no,Guyana,.270909190294118,yes,yes,yes,yes,no,no,.16,.654,37,50th or lower,125th,39th or lower
yes,no,no,no,no,no,no violence,no,no,no,no,no,no,no,no,no,no,no,no,Christian,18 or younger,no,no,0,none,no,1,Partner at most 3 years older,yes,"regular partner, living apart",30-34,25-34,yes,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,currently partnered,no,higher/tech/vocational,Working,Income from own work,African,yes,no,no,no,33,25-34,higher/tech/vocational,no,no,no,no,no,no,rarely/never/NA,rarely/never/NA,no,no,no,no,no,no,no,no,Guyana,.168662739754902,yes,yes,yes,yes,no,no,.16,.654,37,50th or lower,125th,39th or lower
yes,yes,yes,yes,yes,yes,both,yes,yes,yes,yes,no,no,no,no,no,no,no,no,Christian,not married/cohabitated,no,yes,8,3+,yes,23, Partner at least 9 years older,yes,currently no partner,20-24,15-24,no,no,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,formerly partnered,not married/cohabitated,secondary,Housework/work as unpaid family member,Support from relatives/friends,Mixed,yes,no,no,no,44,35-44,no/primary,yes,no,no,no,yes,yes,frequently,frequently,yes,yes,yes,yes,yes,yes,yes,yes,Guyana,.0804825285294118,no,no,no,no,no,no,.16,.654,37,50th or lower,125th,39th or lower
yes,yes,yes,yes,no,yes,physical only,no,no,no,no,no,no,no,no,no,no,no,no,Christian,18 or younger,no,yes,3,3+,yes,-8,Woman is older,yes,currently no partner,55-59,55-64,yes,no,yes,yes,yes,no,yes,no,no,no,yes,no,no,no,no,no,formerly partnered,yes,no/primary,Out of the labor force,Income from own work,Mixed,yes,no,yes,yes,47,45-54,higher/tech/vocational,no,no,no,no,no,no,frequently,frequently,no,no,yes,yes,yes,no,no,no,Guyana,.665511893137255,no,yes,yes,no,no,no,.16,.654,37,50th or lower,125th,39th or lower
yes,no,yes,yes,no,yes,physical only,no,no,yes,no,no,no,no,no,no,no,no,no,Christian,not married/cohabitated,no,yes,2,2,yes,2,Partner at most 3 years older,yes,currently no partner,25-29,25-34,no,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,formerly partnered,not married/cohabitated,no/primary,Not working,Support from relatives/friends,Mixed,yes,no,no,no,27,25-34,secondary,yes,no,no,no,yes,no,sometimes,sometimes,no,no,no,yes,no,no,no,yes,Guyana,.106507313529412,yes,yes,yes,yes,no,no,.16,.654,37,50th or lower,125th,39th or lower
yes,no,yes,yes,yes,yes,both,yes,yes,no,yes,no,no,no,no,no,no,no,no,Not christian,18 or younger,yes,yes,6,3+,yes,5,Partner 4 to 8 years older,yes,currently married,30-34,25-34,yes,yes,yes,yes,yes,yes,no,no,yes,no,yes,yes,yes,no,no,no,currently partnered,no,secondary,Housework/work as unpaid family member,Equal share self and partner,Indigenous/other,yes,no,no,yes,39,35-44,secondary,no,no,no,yes,no,no,sometimes,sometimes,no,no,yes,yes,yes,yes,yes,yes,Guyana,1.44278523382353,yes,yes,yes,yes,no,no,.16,.654,37,50th or lower,125th,39th or lower
yes,yes,no,no,no,no,no violence,no,no,no,no,no,no,no,no,no,no,no,no,Christian,18 or younger,no,no,0,none,yes,6,Partner 4 to 8 years older,yes,"living with man, not married",20-24,15-24,yes,no,yes,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,currently partnered,no,no/primary,Housework/work as unpaid family member,Equal share self and partner,Indigenous/other,yes,no,no,no,28,25-34,no/primary,no,no,no,no,no,no,rarely/never/NA,rarely/never/NA,no,no,no,no,no,no,no,no,Guyana,.417330105686274,yes,yes,yes,yes,no,no,.16,.654,37,50th or lower,125th,39th or lower
yes,no,no,no,no,no,no violence,no,no,no,no,no,no,no,no,no,no,no,no,Christian,19 or older,no,no,0,none,no,-16,Woman is older,yes,currently no partner,40-44,35-44,yes,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,formerly partnered,no,no/primary,Housework/work as unpaid family member,Support from relatives/friends,Mixed,yes,no,no,no,27,25-34,no/primary,no,no,no,no,no,no,rarely/never/NA,rarely/never/NA,no,no,no,no,no,no,no,no,Guyana,.268345738333333,yes,yes,yes,yes,no,no,.16,.654,37,50th or lower,125th,39th or lower
