,CONTROLNUM_0,CONTROLNUM_2,CONTROLNUM_3,Fam_support,Q513R,Q515R,Q702R_1,Q702R_3,ageyr10_1,earlymarriage_1,edpart_3,mcv1006,mcv1006a,mcv1006b,mcv1008,mcv1009,men_alcohol_all,sumdiffage_1
995,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0
962,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
998,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
639,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
932,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1052,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1253,0,1,0,1,0,0,1,0,0,0,0,1,1,1,0,1,1,0
10,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0
184,0,0,1,1,1,1,0,1,0,0,0,0,1,0,1,0,1,0
407,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1
948,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
355,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
400,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1383,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
791,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
397,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0
647,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
19,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
223,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
532,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0
34,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0
767,1,0,0,1,0,1,0,0,0,1,0,1,1,1,0,0,0,1
863,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
1387,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
364,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
700,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
146,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0
67,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,1,1,0
1317,0,0,1,1,0,1,0,0,0,0,1,0,1,1,0,0,1,0
1167,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1020,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0
602,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0
268,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
112,0,0,1,1,0,0,0,0,0,1,0,1,1,1,0,0,0,1
1150,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
739,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0
163,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
1170,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0
955,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
812,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1106,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0,1,1,0
181,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1148,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1
618,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0
980,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
208,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1324,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0
730,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0
856,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0
931,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0
541,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
28,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1297,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0
1177,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0
60,0,0,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,1
1330,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0
594,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
300,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
748,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
319,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0
1021,0,0,1,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0
711,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0
832,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0
793,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0
1276,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
306,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
1107,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
999,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
726,0,0,1,1,1,1,0,1,0,1,0,0,1,0,1,1,1,0
27,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
431,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
384,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
708,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0
503,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
83,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
226,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0
54,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
