,CONTROLNUM,Q702R,Q515R,Q513R,mcv1006,mcv1006a,mcv1006b,mcv1008,men_alcohol_all,mcv1009,earlymarriage,Fam_support,Q516R,edpart,rQ701d,rQ701b,rQ701a,sumdiffage,edresp,country,rQ701c,sQ601c,sQ601d,EP3,FCMAR,tQ602d,SourceIncome,ageyr10,justify,tQ602c
995,0,2,0,0,0,1,1,0,0,0,1,0,0,2,1,0,0,2,1,1,0,1,1,2,0,1,5,2,0,0
962,0,2,0,0,0,0,0,1,1,0,0,1,0,1,1,1,1,3,2,1,1,1,1,1,0,1,4,2,1,0
998,0,1,0,0,0,0,1,0,0,0,0,1,0,2,1,1,1,4,1,1,1,1,0,2,0,0,4,2,0,0
639,1,1,1,0,0,0,0,0,0,0,9,1,0,1,1,1,1,2,2,1,1,0,0,4,9,0,5,4,1,0
932,0,2,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,2,1,1,0,0,4,0,0,5,4,0,0
1052,0,2,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,4,2,1,1,0,0,1,0,0,4,2,0,0
1253,2,1,0,0,1,1,1,0,1,1,0,1,0,1,1,1,1,2,1,1,1,1,1,2,0,1,4,4,1,1
10,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,3,1,1,1,1,1,2,0,0,4,1,0,0
184,3,3,1,1,0,1,0,1,1,0,0,1,1,1,0,0,0,3,2,1,0,0,1,2,0,0,3,3,0,0
407,0,2,0,0,1,1,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,4,5,0,0
948,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,3,1,1,1,0,0,1,0,0,2,4,0,0
355,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,2,2,1,1,1,1,2,0,0,4,4,0,0
400,2,2,0,0,0,0,0,0,0,0,0,1,0,2,1,1,1,3,2,1,1,0,0,1,0,0,4,4,0,0
1383,0,1,0,0,0,0,0,0,0,0,1,0,0,2,1,1,1,2,2,1,1,1,1,2,0,1,4,2,0,0
791,0,2,0,0,0,0,0,0,0,0,0,1,0,3,1,1,1,4,3,1,1,1,1,1,0,0,3,3,0,0
397,3,2,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,2,2,1,1,1,1,1,0,1,4,1,1,1
647,2,2,0,0,0,0,0,0,0,1,0,1,0,2,1,1,1,2,2,1,1,1,1,1,0,0,4,4,0,0
19,2,3,0,0,0,0,0,0,0,0,0,1,0,2,1,1,1,2,2,1,1,1,0,2,0,0,4,1,0,0
